Bpressure,deviceId,Ay,Ax,Gy,Gx,activity,My,Mx,Az,counter,Gz,Lilluminance,timestamp,Mz
,ccbc9d76c2ebeaf5,0.44157901406288147,-0.036295000463724136,,,1,,,0.28395500779151917,0,,,2023-06-06 09:32:06,
,ccbc9d76c2ebeaf5,0.3735029995441437,0.19825001060962677,,,1,9.375,-15.731250762939453,0.9078019857406616,0,,49426,2023-06-06 09:37:25,-38.83125305175781
,ccbc9d76c2ebeaf5,0.30115699768066406,0.18275600671768188,0.07498364895582199,-0.3563632369041443,1,,,1.0327908992767334,1,-0.0642935186624527,52961.98828125,2023-06-06 09:37:25,
941.4078369140625,ccbc9d76c2ebeaf5,0.21282900869846344,-0.013359000906348228,1.2163081169128418,0.17447824776172638,1,9.43125057220459,-16.181251525878906,0.9080459475517273,2,-0.24083344638347626,57290.01953125,2023-06-06 09:37:25,-37.96875
,ccbc9d76c2ebeaf5,0.21411000192165375,0.1520729959011078,-0.10109812021255493,0.003894262947142124,1,8.475000381469727,-13.050000190734863,1.0191880464553833,3,-0.2047160565853119,72299.9921875,2023-06-06 09:37:25,-38.306251525878906
941.40771484375,ccbc9d76c2ebeaf5,0.29151901602745056,-0.12138999253511429,,,1,7.762500286102295,-11.30625057220459,0.9211609959602356,0,,70185.015625,2023-06-06 09:37:26,-39.01875305175781
941.3997802734375,ccbc9d76c2ebeaf5,0.3153090178966522,-0.18861199915409088,0.04802924394607544,0.12698352336883545,1,,,0.9362279772758484,1,-0.020311253145337105,69126.0078125,2023-06-06 09:37:26,
,ccbc9d76c2ebeaf5,0.324398010969162,-0.15963700413703918,-0.6212494969367981,-0.05528326332569122,1,7.425000190734863,-10.6875,0.89102703332901,2,0.002061668550595641,62086.9765625,2023-06-06 09:37:26,-39.712501525878906
941.3924560546875,ccbc9d76c2ebeaf5,0.30146199464797974,-0.0853390023112297,,,1,7.818750381469727,-11.34375,0.9717299938201904,3,,52214.01953125,2023-06-06 09:37:26,-39.88125228881836
941.3974609375,ccbc9d76c2ebeaf5,0.27974599599838257,0.017629001289606094,-0.5616901516914368,-0.33910632133483887,1,,,0.9971060156822205,4,-0.003512472379952669,,2023-06-06 09:37:26,
,ccbc9d76c2ebeaf5,0.25400400161743164,0.10766500234603882,,,1,8.362500190734863,-11.96250057220459,0.954101026058197,5,,55410.0078125,2023-06-06 09:37:26,-39.618751525878906
,ccbc9d76c2ebeaf5,0.531432032585144,-0.3823480010032654,,,6,-9.037500381469727,-15.225000381469727,0.897005021572113,0,,,2023-06-06 09:25:32,-40.6875
,ccbc9d76c2ebeaf5,0.5363729596138,-0.1815970093011856,-0.3082576394081116,-0.1357647031545639,6,,,0.6821019649505615,0,0.03527744114398956,346.0050048828125,2023-06-06 09:25:33,
941.3399658203125,ccbc9d76c2ebeaf5,0.5164260268211365,-0.21709901094436646,-0.4050796926021576,-0.39400777220726013,6,-9.037500381469727,-17.34375,0.8233780264854431,1,0.01740964688360691,370.9800109863281,2023-06-06 09:25:33,-39.9375
,ccbc9d76c2ebeaf5,0.5127050280570984,-0.26962000131607056,,,6,-8.662500381469727,-19.3125,0.7987949848175049,2,,,2023-06-06 09:25:33,-40.20000076293945
941.3389892578125,ccbc9d76c2ebeaf5,0.37874898314476013,-0.1310890018939972,0.16035200655460358,-0.5270999670028687,6,-6.993750095367432,-19.33125114440918,0.9073749780654907,3,0.06910407543182373,391.02752685546875,2023-06-06 09:25:33,-40.14375305175781
941.331787109375,ccbc9d76c2ebeaf5,0.37252700328826904,-0.14908400177955627,0.16035200655460358,0.0691804364323616,6,,,0.8891360759735107,4,-0.015347977168858051,389.00250244140625,2023-06-06 09:25:33,
941.3304443359375,ccbc9d76c2ebeaf5,0.38728898763656616,-0.1319430023431778,-0.08536835014820099,-0.0025961752980947495,6,-6.018750190734863,-19.256250381469727,0.9691070318222046,5,0.029856016859412193,,2023-06-06 09:25:33,-40.368751525878906
941.3331298828125,ccbc9d76c2ebeaf5,0.3596560060977936,-0.20746099948883057,-0.06414080411195755,-0.03695731982588768,6,-5.381250381469727,-19.33125114440918,0.8841949701309204,6,-0.0025961752980947495,396.02252197265625,2023-06-06 09:25:33,-40.33125305175781
941.3272705078125,ccbc9d76c2ebeaf5,0.3749060034751892,-0.1592710018157959,-0.019929463043808937,-0.0030543238390237093,6,-4.931250095367432,-19.443750381469727,0.9002990126609802,0,0.039477135986089706,395.010009765625,2023-06-06 09:25:34,-40.20000076293945
,ccbc9d76c2ebeaf5,0.3744789958000183,-0.17098300158977509,,,6,-4.481250286102295,-19.537500381469727,0.8708970546722412,1,,392.9850158691406,2023-06-06 09:25:34,-40.125
941.3232421875,ccbc9d76c2ebeaf5,0.37795600295066833,-0.1399950087070465,-0.0322994738817215,-0.007941242307424545,6,,,0.8999940752983093,2,0.02306014485657215,386.9775085449219,2023-06-06 09:25:34,
941.3270263671875,ccbc9d76c2ebeaf5,0.3610590100288391,-0.1462779939174652,-0.14172062277793884,-0.14004075527191162,6,-3.4312500953674316,-20.193750381469727,0.9087169766426086,3,-0.06482802331447601,407.0250244140625,2023-06-06 09:25:34,-39.95625305175781
