deviceId,Ay,Ax,Gy,Gx,activity,My,Mx,Az,counter,Gz,Lilluminance,timestamp,Mz
629b502066d8a33a,0.6017040014266968,0.21960000693798065,-0.047564003616571426,0.044248778373003006,1,-26.559398651123047,9.076799392700195,1.0243730545043945,5,0.02980402298271656,12.287500381469727,2023-06-09 20:12:49,-6.3684000968933105
629b502066d8a33a,0.5171579718589783,0.05862100049853325,-0.06577538698911667,0.0377545990049839,1,-23.729000091552734,6.941799640655518,0.2131340056657791,0,0.026890158653259277,11.83750057220459,2023-06-09 20:12:50,-4.269999980926514
629b502066d8a33a,0.9053009748458862,0.480741024017334,,,1,-25.619998931884766,8.28380012512207,0.670939028263092,1,,12.225000381469727,2023-06-09 20:12:50,-5.916999816894531
629b502066d8a33a,0.6407439708709717,0.4135800004005432,-0.0867728739976883,0.03765878453850746,1,,,0.5932250022888184,2,0.021024106070399284,12.912500381469727,2023-06-09 20:12:50,
629b502066d8a33a,0.5794389843940735,0.5244779586791992,-0.11209804564714432,0.045186709612607956,1,-25.351598739624023,8.930399894714355,0.43273401260375977,3,0.011857732199132442,12.512499809265137,2023-06-09 20:12:50,-6.6977996826171875
629b502066d8a33a,0.5745589733123779,-0.014640000648796558,-0.1285751610994339,0.05665905028581619,1,-26.18120002746582,11.199600219726562,0.48647499084472656,4,-0.0007622675620950758,6.9375,2023-06-09 20:12:50,-7.832399845123291
629b502066d8a33a,0.7907429933547974,-0.09473299980163574,,,1,-22.996999740600586,9.723400115966797,0.6628260016441345,5,,4.900000095367432,2023-06-09 20:12:50,-4.818999767303467
629b502066d8a33a,0.6058520078659058,-0.21203599870204926,-0.11414637416601181,0.0653655081987381,1,,,0.6550180315971375,0,-0.01587028242647648,4.900000095367432,2023-06-09 20:12:51,
629b502066d8a33a,0.5769990086555481,-0.10034500062465668,-0.06366105377674103,0.06598298996686935,1,-22.789600372314453,10.736000061035156,0.6034730076789856,1,-0.029508057981729507,4.962500095367432,2023-06-09 20:12:51,-4.013800144195557
629b502066d8a33a,0.6248840093612671,0.04007699713110924,-0.0006856149411760271,0.05906083062291145,1,-24.399999618530273,12.248799324035645,0.31256401538848877,2,-0.03729787841439247,5.125,2023-06-09 20:12:51,-6.307399749755859
629b502066d8a33a,0.870652973651886,-0.00317199993878603,0.043863385915756226,0.04764491692185402,1,-24.10719871520996,13.139399528503418,0.7757369875907898,3,-0.036643136292696,4.787499904632568,2023-06-09 20:12:51,-6.295199871063232
629b502066d8a33a,0.6004840135574341,0.0600849986076355,,,1,,,0.9494039416313171,4,,4.787499904632568,2023-06-09 20:12:51,
629b502066d8a33a,0.4253529906272888,0.08479000627994537,0.059446223080158234,0.034282878041267395,1,-22.338199615478516,13.395599365234375,0.2336909919977188,5,-0.029714593663811684,5.525000095367432,2023-06-09 20:12:51,-4.63599967956543
629b502066d8a33a,0.37795600295066833,0.12242699414491653,0.05704231187701225,0.017062656581401825,1,-21.679399490356445,14.481399536132812,-0.24680599570274353,6,-0.019014103338122368,4.675000190734863,2023-06-09 20:12:51,-4.80679988861084
629b502066d8a33a,0.455608993768692,0.05593699961900711,0.0501914843916893,-0.008048523217439651,1,-17.738800048828125,14.042200088500977,1.8678810596466064,0,-0.005591381341218948,3.7750000953674316,2023-06-09 20:12:52,-3.074399948120117
