Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ
1707067590065,-0.5605187,-0.041874398,9.858728,5.344914E-4,-0.001603474,7.635591E-5,-4.0125003,-30.750002,-22.575
1707067590268,-0.55812585,-0.039780676,9.860523,4.5813544E-4,-0.001603474,3.0542363E-4,-4.0687504,-30.843752,-22.612501
1707067590470,-0.5593223,-0.041575294,9.861121,5.344914E-4,-1.5271181E-4,7.635591E-5,-4.05,-30.843752,-22.575
1707067590672,-0.5665008,-0.034396827,9.854541,5.344914E-4,6.8720314E-4,-8.39915E-4,-4.03125,-30.675001,-22.59375
1707067590874,-0.55064833,-0.03918247,9.862318,7.635591E-4,1.5271181E-4,-8.39915E-4,-3.9375002,-30.6375,-22.63125
1707067591077,-0.57906306,-0.03499503,9.850353,4.5813544E-4,-0.0035887277,-0.0011453386,-3.9562502,-30.656252,-22.59375
1707067591279,-0.53988063,-0.034097724,9.851251,6.1084726E-4,-0.0026724567,-3.0542363E-4,-4.03125,-30.581251,-22.612501
1707067591481,-0.56111693,-0.042173497,9.861421,3.8177954E-4,-0.0013744063,3.0542363E-4,-3.99375,-30.54375,-22.66875
1707067591683,-0.5554339,-0.037387855,9.859626,6.1084726E-4,-0.0014507623,4.5813544E-4,-3.91875,-30.525002,-22.66875
1707067591885,-0.56530434,-0.040378883,9.860224,5.344914E-4,-0.0015271181,1.5271181E-4,-3.8625002,-30.393751,-22.706251
1707067592088,-0.5662017,-0.044566322,9.863514,6.1084726E-4,-0.0015271181,-3.8177954E-4,-3.9,-30.31875,-22.7625
1707067592290,-0.54317075,-0.037387855,9.864711,3.8177954E-4,-0.0026724567,1.5271181E-4,-3.8625002,-30.35625,-22.81875
1707067592492,-0.57427746,-0.04127619,9.859028,3.8177954E-4,-0.0010689828,0.0,-3.9,-30.487501,-22.81875
1707067592694,-0.5566304,-0.03888337,9.859626,6.8720314E-4,0.0,1.5271181E-4,-3.9375002,-30.468752,-22.837502
1707067592897,-0.5617151,-0.044865426,9.864411,6.8720314E-4,-0.0012216945,-7.635591E-5,-3.9375002,-30.525002,-22.800001
1707067593099,-0.56111693,-0.043968115,9.859326,6.1084726E-4,-0.0013744063,2.2906772E-4,-3.9375002,-30.6,-22.800001
1707067593301,-0.5590232,-0.040977087,9.862916,8.39915E-4,-0.0014507623,-1.5271181E-4,-3.99375,-30.656252,-22.800001
1707067593504,-0.558425,-0.0424726,9.8632145,5.344914E-4,-0.0015271181,-7.635591E-5,-4.03125,-30.675001,-22.800001
1707067593706,-0.5629115,-0.0424726,9.865608,3.8177954E-4,-0.0015271181,-1.5271181E-4,-4.0125003,-30.6375,-22.7625
1707067593908,-0.5608178,-0.042173497,9.859925,6.1084726E-4,-0.001603474,-1.5271181E-4,-4.1062503,-30.656252,-22.706251
1707067594111,-0.5623133,-0.04007978,9.863813,7.635591E-4,-0.001603474,-0.0,-4.1062503,-30.525002,-22.7625
1707067594313,-0.56380886,-0.038584266,9.861719,4.5813544E-4,-0.001603474,-7.635591E-5,-4.14375,-30.525002,-22.78125
1707067594515,-0.56380886,-0.044566322,9.861719,4.5813544E-4,-0.0015271181,1.5271181E-4,-4.125,-30.618752,-22.743752
1707067594717,-0.5599205,-0.039481573,9.861421,5.344914E-4,-0.0014507623,-2.2906772E-4,-4.18125,-30.6,-22.743752
1707067594919,-0.55752766,-0.03888337,9.866206,4.5813544E-4,-0.0012980504,-3.0542363E-4,-4.2562504,-30.656252,-22.743752
